[53/500][0/12]	Loss_D: 0.4188	Loss_G: 3.8294	D(x): 0.8435	D(G(z)): 0.1716 / 0.0429
[54/500][0/12]	Loss_D: 0.2916	Loss_G: 4.3961	D(x): 0.9432	D(G(z)): 0.1831 / 0.0185
[55/500][0/12]	Loss_D: 0.3598	Loss_G: 6.2279	D(x): 0.9616	D(G(z)): 0.2413 / 0.0049
[56/500][0/12]	Loss_D: 1.5994	Loss_G: 8.0722	D(x): 0.9943	D(G(z)): 0.6785 / 0.0015
[57/500][0/12]	Loss_D: 1.1362	Loss_G: 8.1504	D(x): 0.9855	D(G(z)): 0.5900 / 0.0010
[58/500][0/12]	Loss_D: 0.4305	Loss_G: 6.5082	D(x): 0.9604	D(G(z)): 0.2874 / 0.0034
[59/500][0/12]	Loss_D: 0.3847	Loss_G: 3.5482	D(x): 0.7221	D(G(z)): 0.0128 / 0.0435
[60/500][0/12]	Loss_D: 0.2574	Loss_G: 2.9948	D(x): 0.8595	D(G(z)): 0.0880 / 0.0703
[61/500][0/12]	Loss_D: 0.2227	Loss_G: 4.2780	D(x): 0.8318	D(G(z)): 0.0138 / 0.0203
[62/500][0/12]	Loss_D: 2.1824	Loss_G: 8.4830	D(x): 0.9976	D(G(z)): 0.8186 / 0.0009
[63/500][0/12]	Loss_D: 0.6373	Loss_G: 4.8080	D(x): 0.6243	D(G(z)): 0.0153 / 0.0266
[64/500][0/12]	Loss_D: 0.3938	Loss_G: 2.5846	D(x): 0.8077	D(G(z)): 0.0956 / 0.1127
[65/500][0/12]	Loss_D: 0.1308	Loss_G: 5.1241	D(x): 0.9530	D(G(z)): 0.0754 / 0.0117
[66/500][0/12]	Loss_D: 1.1717	Loss_G: 7.3827	D(x): 0.9805	D(G(z)): 0.6003 / 0.0045
[67/500][0/12]	Loss_D: 0.0825	Loss_G: 3.7127	D(x): 0.9727	D(G(z)): 0.0507 / 0.0369
[68/500][0/12]	Loss_D: 0.4144	Loss_G: 6.3359	D(x): 0.9794	D(G(z)): 0.2959 / 0.0052
[69/500][0/12]	Loss_D: 0.1635	Loss_G: 3.4791	D(x): 0.9567	D(G(z)): 0.1024 / 0.0435
[70/500][0/12]	Loss_D: 0.3639	Loss_G: 6.1430	D(x): 0.9760	D(G(z)): 0.2646 / 0.0037
[71/500][0/12]	Loss_D: 2.0121	Loss_G: 1.3789	D(x): 0.2204	D(G(z)): 0.0026 / 0.4381
[72/500][0/12]	Loss_D: 1.0981	Loss_G: 4.1216	D(x): 0.4309	D(G(z)): 0.0036 / 0.0367
[73/500][0/12]	Loss_D: 0.2248	Loss_G: 5.2579	D(x): 0.8497	D(G(z)): 0.0380 / 0.0134
[74/500][0/12]	Loss_D: 0.5160	Loss_G: 6.1822	D(x): 0.9786	D(G(z)): 0.3507 / 0.0044
[75/500][0/12]	Loss_D: 0.4764	Loss_G: 6.1901	D(x): 0.9821	D(G(z)): 0.3309 / 0.0032
[76/500][0/12]	Loss_D: 0.2874	Loss_G: 5.3111	D(x): 0.9481	D(G(z)): 0.1797 / 0.0093
[77/500][0/12]	Loss_D: 1.5766	Loss_G: 10.0879	D(x): 0.9907	D(G(z)): 0.6720 / 0.0010
[78/500][0/12]	Loss_D: 0.1723	Loss_G: 4.2010	D(x): 0.9030	D(G(z)): 0.0634 / 0.0194
[79/500][0/12]	Loss_D: 1.0436	Loss_G: 8.9779	D(x): 0.9934	D(G(z)): 0.5541 / 0.0004
[80/500][0/12]	Loss_D: 1.4319	Loss_G: 8.0339	D(x): 0.9657	D(G(z)): 0.6603 / 0.0008
[81/500][0/12]	Loss_D: 0.2086	Loss_G: 3.2861	D(x): 0.8542	D(G(z)): 0.0364 / 0.0596
[82/500][0/12]	Loss_D: 1.5367	Loss_G: 8.4585	D(x): 0.9975	D(G(z)): 0.7099 / 0.0016
[83/500][0/12]	Loss_D: 0.6425	Loss_G: 6.6671	D(x): 0.9669	D(G(z)): 0.3777 / 0.0024
[84/500][0/12]	Loss_D: 0.0737	Loss_G: 4.2625	D(x): 0.9750	D(G(z)): 0.0450 / 0.0270
[85/500][0/12]	Loss_D: 0.2036	Loss_G: 3.9786	D(x): 0.8931	D(G(z)): 0.0776 / 0.0312
[86/500][0/12]	Loss_D: 2.2539	Loss_G: 9.4530	D(x): 0.9924	D(G(z)): 0.8269 / 0.0003
[87/500][0/12]	Loss_D: 0.7714	Loss_G: 5.8147	D(x): 0.9474	D(G(z)): 0.4638 / 0.0061
[88/500][0/12]	Loss_D: 0.2216	Loss_G: 5.0417	D(x): 0.9262	D(G(z)): 0.1251 / 0.0119
